Designator,Mid X,Mid Y,Layer,Rotation
BT1,21.000000mm,-16.300000mm,Bottom,0.000000
C1,35.600000mm,-3.600000mm,Bottom,90.000000
C2,33.300000mm,-3.300000mm,Bottom,90.000000
C3,40.400000mm,-15.200000mm,Bottom,90.000000
C4,2.300000mm,-11.900000mm,Bottom,0.000000
C5,37.600000mm,-44.600000mm,Bottom,0.000000
C6,34.900000mm,-40.600000mm,Bottom,90.000000
C7,27.400000mm,-28.600000mm,Bottom,0.000000
C9,10.800000mm,-44.400000mm,Bottom,0.000000
C10,11.400000mm,-33.800000mm,Bottom,0.000000
C11,7.500000mm,-31.300000mm,Bottom,0.000000
C12,3.800000mm,-32.900000mm,Bottom,0.000000
C13,40.800000mm,-9.400000mm,Bottom,90.000000
C20,11.700000mm,-1.200000mm,Bottom,0.000000
C28,11.600000mm,-7.000000mm,Bottom,0.000000
C29,40.800000mm,-35.000000mm,Bottom,90.000000
C30,25.800000mm,-47.600000mm,Bottom,90.000000
C31,17.000000mm,-38.200000mm,Bottom,0.000000
C32,20.200000mm,-38.200000mm,Bottom,0.000000
C33,27.300000mm,-34.600000mm,Bottom,0.000000
C34,27.400000mm,-27.000000mm,Bottom,0.000000
C35,14.200000mm,-28.200000mm,Bottom,90.000000
C36,24.600000mm,-41.200000mm,Bottom,0.000000
C37,3.800000mm,-29.600000mm,Bottom,0.000000
C38,33.400000mm,-23.300000mm,Bottom,90.000000
C39,30.200000mm,-35.400000mm,Bottom,90.000000
D1,30.800000mm,-27.200000mm,Bottom,90.000000
D2,30.800000mm,-31.500000mm,Bottom,90.000000
D3,7.500000mm,-26.800000mm,Bottom,0.000000
D4,37.200000mm,-37.800000mm,Bottom,0.000000
J1,38.900000mm,-27.000000mm,Bottom,-90.000000
Q1,2.300000mm,-16.300000mm,Bottom,90.000000
Q2,2.300000mm,-21.400000mm,Bottom,90.000000
Q3,9.400000mm,-52.000000mm,Bottom,0.000000
Q4,13.400000mm,-51.900000mm,Bottom,0.000000
Q5,11.500000mm,-28.000000mm,Bottom,0.000000
R1,33.400000mm,-26.900000mm,Bottom,90.000000
R2,33.400000mm,-30.300000mm,Bottom,90.000000
R3,38.400000mm,-7.000000mm,Bottom,0.000000
R4,38.400000mm,-8.600000mm,Bottom,0.000000
R5,38.400000mm,-11.800000mm,Bottom,0.000000
R6,30.600000mm,-2.900000mm,Bottom,90.000000
R7,5.400000mm,-9.800000mm,Bottom,90.000000
R8,7.800000mm,-9.800000mm,Bottom,90.000000
R9,6.000000mm,-22.200000mm,Bottom,90.000000
R10,7.200000mm,-46.400000mm,Bottom,90.000000
R11,6.600000mm,-49.400000mm,Bottom,90.000000
R12,14.400000mm,-45.400000mm,Bottom,90.000000
R13,14.400000mm,-48.600000mm,Bottom,90.000000
R14,17.200000mm,-52.600000mm,Bottom,0.000000
R15,17.200000mm,-51.000000mm,Bottom,0.000000
R16,11.400000mm,-32.200000mm,Bottom,0.000000
R17,7.500000mm,-29.700000mm,Bottom,0.000000
R18,3.800000mm,-31.300000mm,Bottom,0.000000
R19,38.400000mm,-10.200000mm,Bottom,0.000000
R24,5.200000mm,-6.500000mm,Bottom,0.000000
R25,8.400000mm,-6.500000mm,Bottom,0.000000
R29,11.000000mm,-4.400000mm,Bottom,90.000000
R30,40.800000mm,-42.200000mm,Bottom,90.000000
R31,40.800000mm,-45.400000mm,Bottom,90.000000
R32,17.000000mm,-41.200000mm,Bottom,0.000000
R33,21.000000mm,-41.200000mm,Bottom,0.000000
R34,11.400000mm,-30.600000mm,Bottom,0.000000
R35,40.800000mm,-38.600000mm,Bottom,90.000000
R36,3.800000mm,-26.400000mm,Bottom,0.000000
R37,3.800000mm,-28.000000mm,Bottom,0.000000
SW3,31.400000mm,-47.600000mm,Bottom,0.000000
TH1,13.700000mm,-25.450000mm,Bottom,0.000000
U1,20.600000mm,-31.800000mm,Bottom,0.000000
U2,35.000000mm,-9.000000mm,Bottom,0.000000
U3,37.600000mm,-40.600000mm,Bottom,0.000000
U4,2.300000mm,-9.300000mm,Bottom,0.000000
U5,10.800000mm,-47.600000mm,Bottom,90.000000
U6,7.900000mm,-2.200000mm,Bottom,0.000000
U7,37.600000mm,-34.600000mm,Bottom,0.000000
U8,21.000000mm,-47.600000mm,Bottom,0.000000
